Site,Reg,Clicks,Score1,VSr1,ISr1,VRr1,IRr1,FB1,Facebook1,OAuth1,login1,signin1,connect1,account1,forum1,Score2,VSr2,ISr2,VRr2,IRr2,FB2,Facebook2,OAuth2,login2,signin2,connect2,account2,forum2
http://www.pinterest.com,FALSE,1,11,0,0,0,0,0,1,0,1,0,1,0,0,,,,,,,,,,,,,
http://www.yahoo.com,FALSE,1,20,-1,0,-1,0,4,2,0,5,1,0,0,0,,,,,,,,,,,,,
http://www.bing.com,FALSE,2,5,0,0,0,0,0,0,0,0,1,0,0,0,61,0,0,0,0,2,3,0,0,2,1,0,0
http://www.huffingtonpost.com,TRUE,2,8,0,0,0,0,0,0,0,3,0,1,0,0,30,0,0,0,0,0,2,0,1,0,1,0,0
http://www.answers.com,FALSE,1,19,-1,0,-1,0,2,1,0,7,1,0,0,0,,,,,,,,,,,,,
http://www.ehow.com,noFB,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ask.com,FALSE,2,6,0,0,0,0,0,0,0,0,2,0,0,0,40,0,0,0,0,1,2,0,0,2,0,0,0
http://www.comcast.net,TRUE,2,8,-1,1,-1,1,0,0,0,2,2,0,0,0,41,0,0,0,0,2,1,0,1,1,1,0,0
http://www.wikia.com,FALSE,2,8,0,1,0,1,0,0,0,4,0,0,0,0,51,0,0,0,0,0,4,0,2,0,1,0,0
http://www.whitepages.com,FALSE,2,7,-1,0,-1,2,0,0,0,3,0,0,0,0,30,0,0,0,0,2,0,0,0,0,2,0,0
http://www.nytimes.com,FALSE,1,10,-1,0,-1,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,
http://www.buzzfeed.com,FALSE,2,9,0,0,0,0,0,0,0,0,5,0,0,0,40,0,0,0,0,3,0,0,1,1,0,0,0
http://www.yellowpages.com,FALSE,2,7,0,0,0,0,0,0,0,1,2,0,1,0,29,0,0,0,0,0,2,0,1,0,0,0,0
http://www.vimeo.com,TRUE,2,8,0,0,0,0,0,0,0,4,0,0,0,0,19,0,0,0,0,0,1,0,1,0,0,0,0
http://www.imdb.com,FALSE,2,8,0,0,0,0,0,0,0,4,0,0,0,0,51,0,0,0,0,0,4,3,0,0,0,0,0
http://www.nydailynews.com,TRUE,2,8,0,0,0,0,0,0,0,3,1,0,0,0,39,0,0,0,0,0,3,0,1,0,0,0,0
http://www.imgur.com,TRUE,2,11,-1,0,-1,0,0,2,0,0,1,0,0,0,19,0,1,0,1,0,1,0,0,1,0,0,0
http://www.reference.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.mapquest.com,FALSE,2,7,0,0,0,0,0,0,0,1,2,0,0,0,40,-1,0,-1,0,0,3,0,1,1,0,0,0
http://www.ancestry.com,TRUE,2,15,0,0,0,0,1,1,0,2,3,0,0,0,39,-1,1,-1,1,3,0,0,0,1,0,0,0
http://www.photobucket.com,FALSE,1,13,0,1,0,1,0,3,0,2,0,0,0,0,,,,,,,,,,,,,
http://www.msnbc.com,FALSE,1,12,-1,0,-1,0,1,1,0,0,0,2,0,0,,,,,,,,,,,,,
