Rank,Site URL,token vul,secret vul,signed_request vul,referrer vul,DOM vul
3,http://www.msn.com,14,14,14,14,14
7,http://www.pinterest.com,1,1,1,1,1
8,http://www.yahoo.com,1,1,1,1,1
9,http://www.bing.com,1,1,1,1,1
12,http://www.huffingtonpost.com,1,1,1,1,1
15,http://www.answers.com,-1,1,1,1,1
16,http://www.ehow.com,1,1,-1,1,1
20,http://www.ask.com,1,1,1,1,1
25,http://www.comcast.net,12,1,12,1,1
32,http://www.wikia.com,1,1,1,1,1
33,http://www.whitepages.com,1,1,1,1,1
36,http://www.nytimes.com,-1,1,-1,1,1
38,http://www.buzzfeed.com,1,1,-1,1,1
40,http://www.yellowpages.com,1,1,1,1,1
41,http://www.vimeo.com,1,1,1,1,1
43,http://www.bleacherreport.com,10,10,10,10,10
44,http://www.imdb.com,1,1,1,1,1
45,http://www.nydailynews.com,16,1,16,1,1
50,http://www.imgur.com,1,1,1,1,1
51,http://www.reference.com,1,1,1,1,1
53,http://www.mapquest.com,1,1,-1,1,1
59,http://www.ancestry.com,-1,1,-1,1,1
60,http://www.photobucket.com,1,1,1,1,1
68,http://www.msnbc.com,1,1,1,1,1
70,http://www.cnet.com,1,1,1,1,1
72,http://www.hulu.com,1,1,1,1,1
74,http://www.mlb.com,1,1,1,1,1
78,http://www.flickr.com,1,1,1,1,1
81,http://www.goodreads.com,1,1,1,1,1
83,http://www.fandango.com,1,1,-1,1,1
84,http://www.wunderground.com,22,1,22,1,1
91,http://www.tripadvisor.com,1,1,1,1,1
95,http://www.fixya.com,10,10,10,10,10
96,http://www.thepostgame.com,1,1,-1,1,1
97,http://www.netflix.com,12,1,12,1,1
99,http://www.zillow.com,1,1,-1,1,1
103,http://www.break.com,-1,1,-1,1,1
108,http://www.etsy.com,1,1,1,1,1
113,http://www.4shared.com,1,1,1,1,1
114,http://www.edmunds.com,1,1,1,1,1
115,http://www.sbnation.com,1,1,1,1,1
118,http://www.squidoo.com,1,1,1,1,1
119,http://www.today.com,1,1,1,1,1
121,http://www.stackexchange.com,1,1,1,1,1
122,http://www.expedia.com,1,1,-1,1,1
123,http://www.collegehumor.com,11,1,11,1,1
124,http://www.gawker.com,1,1,1,1,1
127,http://www.livestrong.com,1,1,1,1,1
129,http://www.newsvine.com,1,1,1,1,1
130,http://www.skype.com,1,1,1,-1,1
131,http://www.cbsnews.com,10,10,10,10,10
134,http://www.rottentomatoes.com,1,1,-1,1,1
136,http://www.careerbuilder.com,1,1,1,1,1
139,http://www.thesaurus.com,1,1,1,1,1
140,http://www.fool.com,10,10,10,10,10
144,http://www.wsj.com,1,1,1,1,1
